week_number,reward_card_nbr,sales
15,14929846,510.49
15,12188155,166.70
15,11336489,145.70
15,66004138,140.18
15,22569147,36.71
15,10243521,44.36
15,14657128,175.96
15,66405204,81.52
15,20267370,76.12
15,17724261,230.18
15,10914026,68.64
15,24658346,128.38
15,9400947,47.39
15,10743167,14.92
15,51594048,88.38
15,14628618,223.43
15,14705104,69.70
15,11240508,332.22
15,55751091,115.89
15,66155313,228.73
15,11126731,318.78
15,11582259,332.91
15,15568615,31.08
15,10131940,141.39
15,14112086,19.65
15,14386598,67.90
15,62252141,254.03
15,9336792,58.66
15,8014265,440.71
15,13917866,305.17
15,42047474,178.43
15,13946111,379.18
15,14664880,91.71
15,15054876,21.19
15,12293473,31.56
15,13443713,70.49
15,24768376,27.26
15,81077546,326.78
15,13671873,24.62
15,43128657,51.26
15,11771996,422.83
15,15322522,230.78
15,11739517,130.64
15,12160897,37.58
15,30287807,370.51
15,79910023,425.52
15,10241752,195.61
15,48495648,150.89
15,8642415,312.26
15,20233497,666.84
15,91931178,86.31
15,34571048,177.33
15,8564924,68.69
15,41246293,141.38
15,10631993,170.53
15,12625425,189.50
15,30060925,292.93
15,9662550,161.17
15,14733308,48.70
15,10469031,73.07
15,84506646,86.10
15,83682554,36.12
15,76875953,342.30
15,11323195,167.51
15,14836260,374.58
15,45996259,64.95
15,82797179,256.58
15,77726810,216.71
15,88021108,181.07
15,73265486,43.28
15,58721105,173.16
15,95062305,268.82
15,94562808,46.24
15,8258147,138.00
15,94828908,153.14
15,15835297,42.90
15,35629120,454.23
15,15435646,289.55
15,11531888,80.05
15,13464473,67.24
15,38106290,50.46
15,58942520,95.69
15,12276808,304.71
15,13378416,258.79
15,45766512,321.92
15,14252062,43.15
15,74207153,302.09
15,22682929,81.93
15,10684373,234.20
15,11282672,188.62
15,23042331,38.41
15,58602154,91.76
15,38268587,180.73
15,95118907,220.75
15,9659759,75.65
15,10385507,332.88
15,47082713,24.55
15,40598203,231.71
15,12637802,93.18
15,90874160,105.03
15,22673407,267.69
15,101608082,126.27
15,13704042,24.96
15,10196584,178.74
15,8240035,182.39
15,10922656,29.60
15,7915138,259.08
15,48379390,624.05
15,87001737,60.72
15,14770434,309.98
15,11523306,608.97
15,36254133,178.71
15,87264256,198.22
15,54026282,48.82
15,10280482,135.82
15,92471930,245.07
15,92064982,102.08
15,76502512,68.65
15,13952993,38.18
15,11173720,782.30
15,10415196,483.15
15,8036083,125.95
15,12531177,77.62
15,12559372,247.88
15,98860992,51.85
15,15010580,88.47
15,74374719,106.33
15,11754084,80.37
15,70195564,138.18
15,7560627,125.06
15,60754160,155.57
15,13676156,22.86
15,34912664,6.36
15,11892528,139.72
15,9227339,106.44
15,15131596,49.34
15,51146089,321.73
15,11962403,235.45
15,14205981,90.55
15,81593831,166.77
15,13341075,77.04
15,13108881,37.71
